"site_id","datetime","depth_m","variable","observation"
"bvre",2020-06-28,6,"DO_mgL_mean",6.55790716666667
"bvre",2020-06-28,13,"DO_mgL_mean",0
"bvre",2020-06-28,1.5,"DO_mgL_mean",9.41715277777778
"bvre",2020-06-28,1.5,"Chla_ugL_mean",3.42694444444444
"bvre",2020-06-28,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-28,1.5,"fDOM_QSU_mean",11.6247916666667
"bvre",2020-06-29,1,"Temp_C_mean",24.6133193055556
"bvre",2020-06-29,2,"Temp_C_mean",24.4092129166667
"bvre",2020-06-29,3,"Temp_C_mean",24.330281875
"bvre",2020-06-29,4,"Temp_C_mean",23.02797
"bvre",2020-06-29,5,"Temp_C_mean",18.8960963194444
"bvre",2020-06-29,6,"Temp_C_mean",16.8235609027778
"bvre",2020-06-29,7,"Temp_C_mean",14.8279230555556
"bvre",2020-06-29,8,"Temp_C_mean",13.4894033333333
"bvre",2020-06-29,9,"Temp_C_mean",12.4377304166667
"bvre",2020-06-29,10,"Temp_C_mean",11.3829781944444
"bvre",2020-06-29,11,"Temp_C_mean",NA
"bvre",2020-06-29,12,"Temp_C_mean",NA
"bvre",2020-06-29,13,"Temp_C_mean",NA
"bvre",2020-06-29,6,"DO_mgL_mean",6.54458643055556
"bvre",2020-06-29,13,"DO_mgL_mean",0
"bvre",2020-06-29,1.5,"DO_mgL_mean",9.88270833333333
"bvre",2020-06-29,1.5,"Chla_ugL_mean",4.22381944444444
"bvre",2020-06-29,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-29,1.5,"fDOM_QSU_mean",12.5932638888889
"bvre",2020-06-30,1,"Temp_C_mean",25.434941875
"bvre",2020-06-30,2,"Temp_C_mean",25.1747927777778
"bvre",2020-06-30,3,"Temp_C_mean",25.0700192361111
"bvre",2020-06-30,4,"Temp_C_mean",22.1408535416667
"bvre",2020-06-30,5,"Temp_C_mean",19.0798140972222
"bvre",2020-06-30,6,"Temp_C_mean",16.9642108333333
"bvre",2020-06-30,7,"Temp_C_mean",14.8202929861111
"bvre",2020-06-30,8,"Temp_C_mean",13.5043088888889
"bvre",2020-06-30,9,"Temp_C_mean",12.4515220138889
"bvre",2020-06-30,10,"Temp_C_mean",11.3796855555556
"bvre",2020-06-30,11,"Temp_C_mean",NA
"bvre",2020-06-30,12,"Temp_C_mean",NA
"bvre",2020-06-30,13,"Temp_C_mean",NA
"bvre",2020-06-30,6,"DO_mgL_mean",6.67793774305556
"bvre",2020-06-30,13,"DO_mgL_mean",0
"bvre",2020-06-30,1.5,"DO_mgL_mean",10.4174305555556
"bvre",2020-06-30,1.5,"Chla_ugL_mean",5.01479166666667
"bvre",2020-06-30,1.5,"Turbidity_FNU_mean",NA
"bvre",2020-06-30,1.5,"fDOM_QSU_mean",13.4552083333333
"bvre",2020-07-01,1,"Temp_C_mean",25.8304860416667
"bvre",2020-07-01,2,"Temp_C_mean",25.4627535416667
"bvre",2020-07-01,3,"Temp_C_mean",25.251081875
"bvre",2020-07-01,4,"Temp_C_mean",22.3917986805556
"bvre",2020-07-01,5,"Temp_C_mean",19.2213309027778
"bvre",2020-07-01,6,"Temp_C_mean",16.9966795138889
"bvre",2020-07-01,7,"Temp_C_mean",14.9483920833333
